year,country,population,cement_co2,cement_co2_per_capita,co2,co2 (GCP),co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_per_capita,coal_co2,coal_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf
1880,Africa,128194527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.019,0.0,0.0,0.0,193.019,0.0,0.0,0.0,0.0,0.0,0.0,0.208,1.71,193.019,1.508,88.414,0.69,19.343,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18537403039477576,0.0,0.0,0.0,11.434,0.0,0.0,0.0,0.0,5.71,0.0,0.0,5.405,0.001,0.002,0.003,0.0,219.247,26.618
1881,Africa,128863890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.623,0.0,0.0,0.0,390.6420000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.209,1.749,197.623,1.536,89.115,0.692,19.563,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18232731873591052,0.0,0.0,0.0,11.232,0.0,0.0,0.0,0.0,5.852,0.0,0.0,5.332,0.001,0.002,0.004,0.0,225.336,26.882
1882,Africa,129548955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.598,0.0,0.0,0.0,622.2409999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.987,231.598,1.79,89.819,0.693,19.75,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20516521895782683,0.0,0.0,0.0,11.059,0.0,0.0,0.0,0.0,6.512,0.0,0.0,5.276,0.001,0.003,0.004,0.0,257.469,27.148
1883,Africa,130249836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.453,0.0,0.0,0.0,839.6940000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.873,217.453,1.672,90.527,0.695,19.91,0.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1852870275018052,0.0,0.0,0.0,10.892,0.0,0.0,0.0,0.0,6.251,0.0,0.0,5.214,0.001,0.003,0.004,0.0,244.002,27.416
1884,Africa,130956522.0,0.0,0.0,0.022,0.022,0.0,0.0,16.946,0.0,0.0,0.13,0.0,0.022,0.0,0.0,0.022,16.945999999999998,0.022,0.0,0.0,1049.4819999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.211,1.811,209.788,1.604,91.215,0.697,20.051,0.153,0.0,0.0,0.0,0.0,0.0,0.002,0.365,0.002,0.0,0.0,0.014,0.0,0.0,0.0,10.714,0.0,0.0,0.0,0.0,5.776,0.0,0.0,5.147,0.001,0.003,0.004,0.0,237.165,27.684
1885,Africa,131669056.0,0.0,0.0,0.037,0.037,0.015,66.667,16.434,-0.512,-3.02,0.125,0.0,0.037,0.0,0.0,0.059,33.379999999999995,0.059,0.0,0.0,1268.3730000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.213,1.884,218.891,1.665,91.938,0.698,20.179,0.153,0.0,0.0,0.0,0.0,0.0,0.004,0.354,0.004,0.0,0.0,0.026,0.0,0.0,0.0,10.556,0.0,0.0,0.0,0.0,6.028,0.0,0.0,5.091,0.001,0.003,0.004,0.0,248.122,27.981
1886,Africa,132387485.0,0.0,0.0,0.048,0.048,0.011,30.0,16.085,-0.349,-2.122,0.122,0.0,0.048,0.0,0.0,0.106,49.46600000000001,0.106,0.0,0.0,1486.1339999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.214,1.864,217.761,1.647,92.662,0.7,20.301,0.153,0.0,0.0,0.0,0.0,0.0,0.005,0.351,0.005,0.0,0.0,0.038,0.0,0.0,0.0,10.415,0.0,0.0,0.0,0.0,6.142,0.0,0.0,5.041,0.001,0.003,0.004,0.0,246.721,28.273
1887,Africa,133111879.0,0.0,0.0,0.048,0.048,0.0,0.0,15.831,-0.254,-1.579,0.119,0.0,0.048,0.0,0.0,0.154,65.297,0.154,0.0,0.0,1694.3980000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.214,1.797,208.264,1.567,93.368,0.701,20.423,0.153,0.0,0.0,0.0,0.0,0.0,0.004,0.332,0.005,0.0,0.001,0.048,0.001,0.0,0.0,10.262,0.0,0.0,0.0,0.0,5.642,0.0,0.0,4.983,0.001,0.003,0.004,0.0,239.136,28.537
1888,Africa,133842280.0,0.0,0.0,0.081,0.081,0.033,69.231,15.613,-0.218,-1.378,0.117,0.001,0.081,0.001,0.0,0.234,80.91,0.234,0.0,0.0,1908.274000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.215,1.829,213.875,1.6,94.08,0.703,20.551,0.154,0.0,0.0,0.0,0.0,0.0,0.007,0.328,0.007,0.0,0.001,0.057,0.001,0.0,0.0,10.133,0.0,0.0,0.0,0.0,5.997,0.0,0.0,4.929,0.001,0.003,0.004,0.0,244.763,28.84
1889,Africa,134489847.0,0.0,0.0,0.132,0.132,0.051,63.636,15.481,-0.132,-0.845,0.115,0.001,0.132,0.001,0.0,0.366,96.392,0.366,0.0,0.0,2124.9440000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.217,1.843,216.67,1.613,94.796,0.705,20.693,0.154,0.0,0.0,0.0,0.0,0.0,0.011,0.317,0.011,0.0,0.001,0.066,0.001,0.0,0.0,10.006,0.0,0.0,0.0,0.0,5.891,0.0,0.0,4.879,0.001,0.003,0.004,0.0,247.834,29.165
