year,country,population,co2,co2_including_luc,co2_including_luc_per_unit_energy,co2_per_unit_energy,energy_per_capita,primary_energy_consumption
1966,Africa,329252360.0,221.082,1304.675,2.578,0.437,2275.487,750.133
1967,Africa,337851070.0,237.045,1342.63,2.65,0.468,2241.349,757.934
1968,Africa,346800965.0,257.271,1332.752,2.479,0.479,2307.324,800.596
1969,Africa,356032572.0,277.717,1375.873,2.552,0.515,2310.408,822.668
1970,Africa,365552194.0,302.406,1421.348,2.45,0.521,2443.656,893.035
1971,Africa,375326467.0,331.613,1385.271,2.234,0.535,2541.196,953.168
1972,Africa,385312221.0,351.688,1329.316,2.036,0.539,2618.036,1007.763
1973,Africa,395821972.0,377.821,1338.851,1.926,0.543,2761.8,1091.498
1974,Africa,406870347.0,388.183,1399.516,1.913,0.531,2822.004,1145.929
1975,Africa,418433494.0,387.017,1380.497,1.747,0.49,2908.514,1214.47
1976,Africa,430496972.0,419.915,1377.491,1.613,0.492,3070.085,1318.827
1977,Africa,442660474.0,432.919,1498.085,1.675,0.484,3150.411,1391.542
1978,Africa,455539246.0,462.339,1372.18,1.485,0.5,3179.803,1445.103
1979,Africa,469198447.0,498.987,1280.779,1.28,0.499,3364.423,1574.47
1980,Africa,483051703.0,536.023,1384.826,0.784,0.303,3514.002,1692.144
1981,Africa,497620997.0,548.882,1410.708,0.73,0.284,3831.083,1898.898
1982,Africa,512958818.0,571.969,1346.775,0.657,0.279,3963.747,2023.654
1983,Africa,528232712.0,594.811,1438.102,0.677,0.28,3966.524,2083.755
1984,Africa,543638102.0,649.591,1662.273,0.751,0.293,3976.943,2148.277
1985,Africa,559664031.0,666.142,1604.989,0.699,0.29,4023.185,2235.495
1986,Africa,575967283.0,690.176,1498.227,0.637,0.293,3990.702,2281.272
1987,Africa,592601301.0,690.283,1528.361,0.633,0.286,4004.209,2354.796
1988,Africa,609387686.0,725.373,1526.495,0.592,0.281,4169.531,2520.53
1989,Africa,626359180.0,698.583,1521.203,0.586,0.269,4063.964,2524.404
