year,population,gdp,co2,co2_including_luc,co2_including_luc_per_unit_energy,co2_per_unit_energy,energy_per_capita,energy_per_gdp,primary_energy_consumption
1965,3334533717,17318185651275.234,11310.601,16935.701,0.391,0.261,12993.681,2.503805414327976,43361.367
1966,3404041107,18218767872630.973,11862.646,17085.477,0.374,0.259,13425.671,2.5102374825633933,45733.434
1967,3473412894,19131433722962.113,12237.369,17638.225,0.372,0.258,13641.828,2.478197174689284,47411.465
1968,3545187239,20056183202268.67,12905.283,18237.686,0.363,0.257,14166.963,2.5053390514659943,50247.539
1969,3619491592,20993016310550.633,13761.785,19597.758,0.365,0.256,14831.895,2.5580497440480223,53701.18
1970,3694683801,21941933047808.0,14899.124,20593.229,0.36,0.261,15469.435,2.6053127532312312,57165.598
1971,3769847834,22902933414040.785,15503.854,20621.949,0.347,0.261,15765.528,2.5952401784288814,59438.613
1972,3844917687,23876017409248.973,16224.597,21615.156,0.345,0.259,16307.729,2.6260649724485288,62699.973
1973,3920805030,24861185033432.562,17085.094,22329.176,0.337,0.258,16919.732,2.667998404372196,66329.602
1974,3996416108,25858436286591.566,17011.072,22149.475,0.332,0.255,16691.398,2.5790718843498404,66690.766
1975,4070735264,26867771168725.98,17052.752,22112.086,0.329,0.254,16501.822,2.4993935141954045,67153.133
1976,4144246391,27884666258428.555,17989.111,23073.289,0.326,0.254,17077.406,2.536994681749752,70743.25
1977,4217863819,28904598134292.043,18498.635,24012.406,0.328,0.252,17387.459,2.5359830176305396,73301.57
1978,4292097508,29927566796316.457,19069.291,24482.348,0.321,0.25,17757.373,2.5452469129356525,76173.047
1979,4368539472,30953572244501.773,19609.02,24295.771,0.309,0.249,18028.039,2.5426111525457245,78702.898
1980,4447606208,31982614478848.0,19488.523,24456.057,0.314,0.25,17552.455,2.4389266253260242,78003.25
1981,4528777285,33014693499355.152,19022.902,23852.844,0.307,0.245,17163.963,2.352302286299186,77660.539
1982,4612673436,34049809306023.22,18871.098,23414.797,0.303,0.244,16770.496,2.2695630188545555,77278.188
1983,4697327604,35087961898852.188,18991.91,23776.867,0.302,0.242,16752.643,2.2401259220066367,78601.453
1984,4782175500,36129151277842.08,19647.801,25286.881,0.308,0.239,17197.037,2.2732400594854347,82130.234
1985,4868943460,37173377442992.88,20311.902,25602.865,0.304,0.241,17346.605,2.268680674209142,84334.523
1986,4958072822,38244382198951.94,20614.963,26142.145,0.303,0.239,17415.582,2.254140923274281,86208.227
1987,5049746378,39365907350366.58,21250.074,26589.879,0.298,0.238,17720.008,2.269128162218473,89326.289
1988,5141992550,40537952897236.81,22085.131,27256.115,0.294,0.238,18053.043,2.2855996511435963,92653.531
1989,5234431714,41760518839562.625,22386.637,27339.98,0.289,0.237,18080.6,2.2616506122170867,94447.703
1990,5327803075,43033605177344.0,22728.988,27705.59,0.29,0.238,17972.461,2.2202361527985963,95544.766
1991,5418735879,44357211910580.99,23186.102,28156.088,0.292,0.241,17814.373,2.1712113735675627,96308.883
1992,5505989821,45731339039273.56,22528.172,27786.176,0.287,0.233,17637.264,2.118371231526897,96875.953
1993,5591544841,47155986563421.69,22755.787,27729.648,0.284,0.233,17508.812,2.0708768730490137,97654.242
1994,5675551281,48631154483025.42,22992.947,28882.324,0.292,0.232,17470.807,2.0336238785883625,98897.477
1995,5758878997,50156842798084.75,23532.084,28964.484,0.287,0.233,17595.949,2.0148278951054492,101057.406
1996,5842055726,51787234633829.766,24258.168,30270.709,0.291,0.233,17848.607,2.007651783980016,103970.734
1997,5924787787,53576513115490.59,24401.906,31808.471,0.303,0.232,17781.023,1.9602485285597018,105023.281
1998,6007066714,55524678243067.25,24303.777,30448.242,0.288,0.23,17642.604,1.9024294123341285,105631.781
1999,6089006330,57631730016559.72,24853.729,30856.643,0.287,0.231,17704.828,1.8640534471051242,107428.625
2000,6171703018,59897668435968.0,25510.553,30807.773,0.279,0.231,17949.238,1.8426102030663516,110368.055
2001,6254936479,62322493501292.1,25706.293,30471.537,0.273,0.231,17886.389,1.7882076877698974,111445.562
2002,6337730319,64906205212532.016,26276.869,31404.986,0.276,0.231,18029.49,1.7534454776293993,113809.492
2003,6420361649,67648803569687.75,27669.49,33745.172,0.286,0.235,18425.412,1.7414974512984396,117810.219
2004,6503377778,70550288572759.3,28632.506,34036.496,0.275,0.231,19106.504,1.75376984989079,123728.969
2005,6586970145,73610660221746.66,29614.395,34505.375,0.27,0.232,19498.543,1.7371788626102034,127874.883
2006,6671452018,76770394087997.17,30628.396,35960.543,0.273,0.233,19798.291,1.7127525468904408,131488.688
2007,6757308750,79969965742858.17,31534.645,36129.227,0.267,0.233,20149.217,1.694668651425589,135522.594
2008,6844457675,83209375186329.66,32074.199,36954.508,0.269,0.234,20131.947,1.6480200541456418,137130.719
2009,6932766459,86488622418411.6,31541.922,36815.902,0.273,0.234,19563.131,1.560349387311683,134952.469
