country,year,co2,co2_growth_abs,co2_growth_prct,cumulative_co2,cumulative_oil_co2,oil_co2,share_global_co2,share_global_cumulative_co2,share_global_cumulative_oil_co2,share_global_oil_co2
International aviation,1951,3.891,0.38,10.808,7.402,7.402,3.891,0.061,0.003,0.025,0.226
International aviation,1952,4.135,0.244,6.276,11.537,11.537,4.135,0.064,0.005,0.037,0.228
International aviation,1953,4.85,0.715,17.296,16.387,16.387,4.85,0.073,0.007,0.049,0.25
International aviation,1954,5.733,0.883,18.206,22.121,22.121,5.733,0.084,0.009,0.062,0.279
International aviation,1955,6.562,0.829,14.464,28.683,28.683,6.562,0.088,0.011,0.076,0.286
International aviation,1956,7.662,1.1,16.755,36.345,36.345,7.662,0.097,0.013,0.09,0.307
International aviation,1957,8.424,0.762,9.947,44.769,44.769,8.424,0.103,0.016,0.105,0.323
International aviation,1958,9.581,1.156,13.728,54.35,54.35,9.581,0.114,0.019,0.119,0.352
International aviation,1959,11.017,1.436,14.99,65.367,65.367,11.017,0.124,0.022,0.135,0.38
International aviation,1960,14.667,3.651,33.138,80.034,80.034,14.667,0.156,0.026,0.155,0.47
International aviation,1961,18.213,3.545,24.171,98.247,98.247,18.213,0.193,0.031,0.179,0.55
International aviation,1962,21.433,3.22,17.682,119.68,119.68,21.433,0.22,0.037,0.205,0.602
International aviation,1963,23.21,1.776,8.288,142.89,142.89,23.21,0.226,0.042,0.23,0.61
International aviation,1964,26.872,3.663,15.781,169.762,169.762,26.872,0.248,0.049,0.256,0.655
International aviation,1965,31.151,4.278,15.921,200.913,200.913,31.151,0.275,0.056,0.284,0.706
International aviation,1966,37.122,5.972,19.17,238.035,238.035,37.122,0.313,0.064,0.315,0.78
International aviation,1967,46.3,9.177,24.722,284.335,284.335,46.3,0.378,0.074,0.353,0.912
International aviation,1968,53.477,7.177,15.501,337.811,337.811,53.477,0.414,0.085,0.392,0.967
International aviation,1969,51.995,-1.482,-2.771,389.806,389.806,51.995,0.378,0.095,0.423,0.87
International aviation,1970,75.059,23.065,44.359,464.865,464.865,75.059,0.504,0.109,0.47,1.104
International aviation,1971,82.44,7.381,9.833,547.305,547.305,82.44,0.532,0.124,0.516,1.145
International aviation,1972,86.487,4.047,4.909,633.792,633.792,86.487,0.533,0.139,0.557,1.114
International aviation,1973,90.949,4.463,5.16,724.741,724.741,90.949,0.532,0.153,0.594,1.106
International aviation,1974,85.308,-5.641,-6.203,810.049,810.049,85.308,0.501,0.165,0.622,1.052
International aviation,1975,83.537,-1.771,-2.076,893.586,893.586,83.537,0.49,0.176,0.646,1.039
International aviation,1976,85.07,1.532,1.834,978.656,978.656,85.07,0.473,0.186,0.667,0.996
International aviation,1977,96.128,11.058,12.999,1074.784,1074.784,96.128,0.52,0.197,0.691,1.087
International aviation,1978,99.189,3.061,3.185,1173.972,1173.972,99.189,0.52,0.208,0.712,1.083
International aviation,1979,103.156,3.968,4.0,1277.129,1277.129,103.156,0.526,0.219,0.734,1.112
International aviation,1980,105.404,2.248,2.179,1382.533,1382.533,105.404,0.541,0.229,0.756,1.178
International aviation,1981,106.174,0.77,0.73,1488.707,1488.707,106.174,0.558,0.239,0.777,1.242
International aviation,1982,106.056,-0.118,-0.111,1594.763,1594.763,106.056,0.562,0.249,0.798,1.271
International aviation,1983,108.48,2.423,2.285,1703.243,1703.243,108.48,0.571,0.258,0.818,1.314
International aviation,1984,116.188,7.708,7.106,1819.431,1819.431,116.188,0.591,0.268,0.841,1.396
International aviation,1985,117.888,1.7,1.463,1937.319,1937.319,117.888,0.58,0.277,0.862,1.416
International aviation,1986,124.489,6.601,5.599,2061.808,2061.808,124.489,0.604,0.286,0.884,1.452
International aviation,1987,217.051,92.562,74.353,2278.859,2278.859,217.051,1.021,0.307,0.942,2.511
International aviation,1988,226.152,9.101,4.193,2505.011,2505.011,226.152,1.024,0.328,0.998,2.523
International aviation,1989,241.935,15.783,6.979,2746.947,2746.947,241.935,1.081,0.349,1.056,2.653
International aviation,1990,189.878,-52.058,-21.517,2936.824,2936.824,189.878,0.835,0.363,1.09,2.054
International aviation,1991,198.712,8.835,4.653,3135.537,3135.537,198.712,0.857,0.377,1.124,2.048
International aviation,1992,219.962,21.25,10.694,3355.499,3355.499,219.962,0.976,0.393,1.164,2.389
International aviation,1993,227.201,7.239,3.291,3582.7,3582.7,227.201,0.998,0.408,1.204,2.465
International aviation,1994,241.273,14.072,6.194,3823.973,3823.973,241.273,1.049,0.425,1.247,2.608
International aviation,1995,255.057,13.784,5.713,4079.031,4079.031,255.057,1.084,0.442,1.291,2.732
International aviation,1996,270.976,15.918,6.241,4350.006,4350.006,270.976,1.117,0.459,1.336,2.817
International aviation,1997,289.361,18.385,6.785,4639.367,4639.367,289.361,1.186,0.477,1.383,2.963
International aviation,1998,309.126,19.765,6.831,4948.493,4948.493,309.126,1.272,0.496,1.433,3.128
International aviation,1999,318.88,9.754,3.155,5267.372,5267.372,318.88,1.283,0.516,1.482,3.146
International aviation,2000,324.21,5.33,1.672,5591.582,5591.582,324.21,1.271,0.534,1.529,3.157
International aviation,2001,325.978,1.768,0.545,5917.561,5917.561,325.978,1.268,0.552,1.574,3.15
International aviation,2002,344.503,18.525,5.683,6262.063,6262.063,344.503,1.311,0.57,1.621,3.334
International aviation,2003,358.629,14.125,4.1,6620.692,6620.692,358.629,1.296,0.588,1.668,3.382
International aviation,2004,389.352,30.724,8.567,7010.044,7010.044,389.352,1.36,0.607,1.718,3.54
International aviation,2005,410.863,21.511,5.525,7420.908,7420.908,410.863,1.387,0.626,1.771,3.699
International aviation,2006,424.846,13.983,3.403,7845.754,7845.754,424.846,1.387,0.645,1.823,3.786
International aviation,2007,439.883,15.036,3.539,8285.637,8285.637,439.883,1.395,0.664,1.876,3.909
International aviation,2008,445.606,5.723,1.301,8731.242,8731.242,445.606,1.389,0.682,1.928,3.978
International aviation,2009,428.019,-17.587,-3.947,9159.262,9159.262,428.019,1.357,0.699,1.975,3.907
International aviation,2010,451.502,23.484,5.487,9610.765,9610.765,451.502,1.354,0.715,2.023,3.987
International aviation,2011,470.057,18.555,4.11,10080.821,10080.821,470.057,1.362,0.731,2.072,4.137
International aviation,2012,484.41,14.352,3.053,10565.231,10565.231,484.41,1.384,0.747,2.122,4.214
International aviation,2013,498.401,13.991,2.888,11063.632,11063.632,498.401,1.412,0.764,2.171,4.305
International aviation,2014,498.253,-0.148,-0.03,11561.885,11561.885,498.253,1.406,0.779,2.219,4.293
International aviation,2015,518.203,19.95,4.004,12080.087,12080.087,518.203,1.464,0.795,2.267,4.38
International aviation,2016,540.414,22.211,4.286,12620.501,12620.501,540.414,1.526,0.811,2.316,4.517
International aviation,2017,564.229,23.816,4.407,13184.73,13184.73,564.229,1.568,0.829,2.367,4.644
International aviation,2018,605.798,41.568,7.367,13790.528,13790.528,605.798,1.649,0.847,2.422,4.946
