year,population,gdp,co2,co2_growth_abs,co2_growth_prct,cumulative_co2,co2_per_capita,co2_per_gdp,coal_co2,cumulative_coal_co2
1750,753279296,0.0,9.306,0.0,0.0,9.306,0.012,0.0,9.306,9.306
1751,756867523,0.0,9.407,0.101,1.088,18.713,0.01242885936327856,0.0,9.407,18.713
1752,760435604,0.0,9.505,0.098,1.041,28.218,0.01249941474334229,0.0,9.505,28.218
1753,763983539,0.0,9.61,0.105,1.108,37.829,0.012578805051976387,0.0,9.61,37.829
1754,767511327,0.0,9.734,0.123,1.281,47.562,0.01268254898341064,0.0,9.734,47.562
1755,771018968,0.0,9.793,0.06,0.615,57.356,0.01270137364506446,0.0,9.793,57.356
1756,774506463,0.0,9.91,0.116,1.189,67.266,0.012795245066922058,0.0,9.91,67.266
1757,777973811,0.0,10.094,0.184,1.857,77.36,0.012974729813880584,0.0,10.094,77.36
1758,781421012,0.0,10.216,0.122,1.213,87.576,0.01307361824562762,0.0,10.216,87.576
1759,784848067,0.0,10.339,0.122,1.199,97.915,0.0131732502566003,0.0,10.339,97.915
1760,788254976,0.0,10.514,0.175,1.697,108.429,0.013,0.0,10.514,108.429
1761,791641737,0.0,10.748,0.234,2.221,119.177,0.013576848589022786,0.0,10.748,119.177
1762,795008352,0.0,10.952,0.204,1.901,130.129,0.013775955903416723,0.0,10.952,130.129
1763,798354821,0.0,11.192,0.239,2.186,141.321,0.01401882935457341,0.0,11.192,141.321
1764,801681143,0.0,11.397,0.205,1.835,152.718,0.01421637530022332,0.0,11.397,152.718
1765,804987318,0.0,11.643,0.247,2.163,164.361,0.014463581897075306,0.0,11.643,164.361
1766,808542767,0.0,11.876,0.233,1.998,176.237,0.014688153162342248,0.0,11.876,176.237
1767,812616908,0.0,12.153,0.276,2.328,188.39,0.014955386579280971,0.0,12.153,188.39
1768,817209742,0.0,12.467,0.314,2.587,200.857,0.015255569481451436,0.0,12.467,200.857
1769,822321268,0.0,12.78,0.313,2.512,213.637,0.015541371112877504,0.0,12.78,213.637
1770,827951488,0.0,13.097,0.317,2.482,226.734,0.016,0.0,13.097,226.734
1771,834100399,0.0,13.369,0.272,2.079,240.104,0.016028046522970192,0.0,13.369,240.104
1772,840768004,0.0,13.624,0.254,1.9,253.727,0.016204232243833105,0.0,13.624,253.727
1773,847954301,0.0,13.808,0.185,1.355,267.535,0.016283896412478956,0.0,13.808,267.535
1774,855659291,0.0,14.012,0.204,1.479,281.548,0.016375676799610654,0.0,14.012,281.548
1775,863882974,0.0,14.339,0.327,2.33,295.887,0.016598313002520175,0.0,14.339,295.887
1776,872151884,0.0,14.654,0.315,2.198,310.541,0.016802119296918244,0.0,14.654,310.541
1777,879992557,0.0,14.96,0.305,2.084,325.5,0.017000143786443413,0.0,14.96,325.5
1778,887404993,0.0,15.243,0.284,1.898,340.744,0.017177050073235278,0.0,15.243,340.744
