year,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_per_capita,co2_per_gdp,coal_co2,coal_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf
1850,1287033856,1546684465152.0,0.0,0.0,196.848,11.8,6.376,2835.459,0.0,0.0,2.203,1.833,0.153,0.127,196.848,0.153,0.0,196.84799999999996,2835.459,196.84799999999996,0.0,0.0,2638.611,0.0,0.0,0.0,0.0,0.0,0.0,0.529,3.278,2638.611,2.05,1239.41,0.963,144.832,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4219.061,681.081
1851,1294571381,1561940626895.5103,0.0,0.0,198.779,1.931,0.981,3018.492,183.033,6.455,2.331653583804971,1.932526722222156,0.15354811864174833,0.12726412040071597,198.779,0.15354811864174833,0.0,395.6260000000002,5853.951,395.6260000000002,0.0,0.0,5458.325,0.0,0.0,0.0,0.0,0.0,0.0,0.5285131511801897,3.4060006769143927,2819.714,2.178106237619662,1244.053,0.9609767512696158,147.445,0.11389483976241245,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,4409.311,684.198
1852,1301972716,1577381980495.9185,0.0,0.0,207.595,8.817,4.435,3065.094,46.601,1.544,2.3541921903070047,1.9431526655555902,0.15944650563629784,0.13160731044660057,207.595,0.15944650563629784,0.0,603.2209999999995,8919.044,603.2209999999995,0.0,0.0,8315.823,0.0,0.0,0.0,0.0,0.0,0.0,0.53471857854201,3.4294712516848165,2857.499,2.194745684670707,1250.69,0.9606115278993297,150.001,0.11521055561044491,0.0,0.0,0.0,0.0,0.001,0.003,0.004,0.0,4465.078,696.189
1853,1309237862,1593008525953.2246,0.0,0.0,217.237,9.642,4.645,3122.835,57.741,1.884,2.385231202548281,1.9603379072509093,0.16592630438303044,0.13636901275842808,217.237,0.16592630438303044,0.0,820.4579999999996,12041.88,820.4579999999996,0.0,0.0,11221.421,0.0,0.0,0.0,0.0,0.0,0.0,0.5421925385778371,3.462176837045979,2905.598,2.2193048981652503,1258.188,0.9610079547180098,152.464,0.11645248310119526,0.0,0.0,0.0,0.0,0.001,0.004,0.006,0.0,4532.813,709.859
1854,1316366818,1608820263267.4275,0.0,0.0,255.039,37.802,17.401,3169.879,47.044,1.506,2.4080514311475145,1.9703127020305837,0.19374462840645684,0.1585254772226883,255.039,0.19374462840645684,0.0,1075.4970000000003,15211.758,1075.4970000000003,0.0,0.0,14136.262,0.0,0.0,0.0,0.0,0.0,0.0,0.5748200195061435,3.490351577670959,2914.84,2.2143068027410577,1270.683,0.965295526007402,154.799,0.11759564118699929,0.0,0.0,0.0,0.0,0.002,0.006,0.008,0.0,4594.583,756.674
1855,1323359584,1624817192438.5283,0.0,0.0,260.26,5.221,2.047,3138.781,-31.098,-0.981,2.371827761667535,1.9317748572621345,0.19666612396710462,0.16017801954040217,260.223,0.19663816482399088,0.0,1335.7569999999996,18350.539,1335.7200000000003,0.0,0.0,17014.781,0.037,0.0,0.0,0.0,0.0,0.0,0.5779683838372383,3.4548969571674633,2878.521,2.1751616377004304,1277.144,0.9650770776448315,156.97,0.11861477552876513,0.037,2.7959143113743452e-05,0.0,0.0,0.002,0.007,0.01,0.0,4572.071,764.86
1856,1329808695,1640999313466.5264,0.0,0.0,278.246,17.986,6.911,3247.13,108.349,3.452,2.4418023526308796,1.9787515895668508,0.209237615189454,0.16955887654347623,278.205,0.20920678368703252,0.0,1614.0019999999995,21597.67,1613.9250000000002,0.0,0.0,19983.668,0.077,0.0,0.0,0.0,0.0,0.0,0.5925468850991382,3.527517918658217,2968.884,2.2325647374414257,1285.786,0.9668954676221304,158.941,0.11952170308226177,0.04,3.0079514557543182e-05,0.0,0.0,0.003,0.008,0.012,0.0,4690.924,787.974
1857,1335306688,1657366626351.4219,0.0,0.0,281.181,2.935,1.055,3232.267,-14.863,-0.458,2.4206176970784408,1.9502426008876579,0.21057409696730284,0.16965528056939372,281.13,0.21053590349425405,0.0,1895.183,24829.936,1895.0550000000003,0.0,0.0,22934.754,0.128,0.0,0.0,0.0,0.0,0.0,0.594082997658138,3.5075545131995924,2951.086,2.210043600111138,1291.693,0.967338074172815,160.678,0.1203304090692909,0.051,3.819347304879222e-05,0.0,0.0,0.003,0.01,0.014,0.0,4683.661,793.283
1858,1339853561,1673919131093.215,0.0,0.0,285.548,4.367,1.553,3260.378,28.11,0.87,2.433383837534168,1.9477512022164947,0.2131188126162692,0.17058649650148408,285.486,0.21307253890263012,0.0,2180.732,28090.312,2180.541,0.0,0.0,25909.582,0.191,0.0,0.0,0.0,0.0,0.0,0.5969398621466215,3.5219483213359912,2974.829,2.2202642785676785,1297.413,0.9683244779613643,162.145,0.12101695641946351,0.062,4.6273713639068354e-05,0.0,0.0,0.004,0.011,0.016,0.001,4718.895,799.812
1859,1343449316,1690656827691.9058,0.0,0.0,302.572,17.024,5.962,3341.246,80.869,2.48,2.4870651688954375,1.9763005390996398,0.22522025683922414,0.17896712984211763,302.517,0.2251793174458693,0.0,2483.304,31431.559,2483.058,0.0,0.0,28948.256,0.245,0.0,0.0,0.0,0.0,0.0,0.6121377190831068,3.580356878904392,3038.674,2.261844912056213,1306.537,0.972524221375241,163.305,0.12155650239655189,0.055,4.0939393354829024e-05,0.0,0.0,0.004,0.013,0.018,0.001,4810.028,822.376
1860,1346093952,1707579716147.4937,0.0,0.0,332.298,29.726,9.825,3113.146,-228.1,-6.827,2.313,1.8231336262436015,0.247,0.19460174939867783,332.025,0.247,0.0,2815.602,34544.707,2815.0829999999996,0.0,0.0,31729.104,0.519,0.0,0.0,0.0,0.0,0.0,0.638,3.412,2780.848,2.066,1317.394,0.979,164.125,0.122,0.273,0.0,0.0,0.0,0.005,0.014,0.02,0.001,4593.482,859.345
