year,country,population,cement_co2,cement_co2_per_capita,co2,co2 (GCP),co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_per_capita,coal_co2,coal_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf
1850,Africa,112301163.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,404.526,,,,,,,0.179,2.721,404.526,3.606,71.47,0.636,10.961,0.098,,,,,,,,,,,,,,,15.331,,,,,15.331,,,,,,,,305.593,20.155
1851,Africa,112964625.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,879.669,,,,,,,0.18,2.969,475.143,4.211,71.875,0.636,11.171,0.099,,,,,,,,,,,,,,,16.116,,,,,16.851,,,7.514,0.0,0.0,0.0,0.0,335.429,20.281
1852,Africa,113506374.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,1395.339,,,,,,,0.18,3.091,515.671,4.548,72.318,0.637,11.375,0.1,,,,,,,,,,,,,,,16.779,,,,,18.046,,,7.658,0.0,0.0,0.0,0.0,350.851,20.444
1853,Africa,113925748.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,1929.577,,,,,,,0.181,3.037,534.238,4.695,72.761,0.639,11.571,0.102,,,,,,,,,,,,,,,17.195,,,,,18.387,,,7.632,0.0,0.0,0.0,0.0,346.018,20.607
1854,Africa,114348862.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,2491.135,,,,,,,0.182,3.174,561.557,4.917,73.206,0.64,11.757,0.103,,,,,,,,,,,,,,,17.622,,,,,19.265,,,7.687,0.0,0.0,0.001,0.0,362.942,20.771
1855,Africa,114775726.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,3059.255,,,,,,,0.182,3.129,568.12,4.956,73.651,0.642,11.928,0.104,,,,,,,,,,,,,,,17.98,,,,,19.737,,,7.714,0.0,0.001,0.001,0.0,359.185,20.935
1856,Africa,115206465.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,3640.967,,,,,,,0.183,3.203,581.712,5.056,74.051,0.643,12.082,0.105,,,,,,,,,,,,,,,18.22,,,,,19.594,,,7.739,0.0,0.001,0.001,0.0,368.971,21.052
1857,Africa,115641146.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,4239.385,,,,,,,0.183,3.254,598.418,5.182,74.498,0.644,12.216,0.106,,,,,,,,,,,,,,,18.485,,,,,20.278,,,7.786,0.0,0.001,0.001,0.0,376.344,21.216
1858,Africa,116079843.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,4839.37,,,,,,,0.184,3.242,599.985,5.176,74.953,0.646,12.326,0.106,,,,,,,,,,,,,,,18.678,,,,,20.169,,,7.816,0.0,0.001,0.001,0.0,376.302,21.386
1859,Africa,116531294.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,5484.712,,,,,,,0.185,3.595,645.342,5.546,75.41,0.647,12.411,0.107,,,,,,,,,,,,,,,18.947,,,,,21.238,,,7.932,0.0,0.001,0.001,0.0,418.914,21.556
1860,Africa,116995450.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,5898.899,,,,,,,0.186,2.537,414.186,3.545,75.864,0.648,12.466,0.107,,,,,,,,,,,,,,,18.591,,,,,14.894,,,7.781,0.0,0.001,0.002,0.0,296.853,21.722
1861,Africa,117468679.0,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,,6220.438,,,,,,,0.186,2.137,321.539,2.741,76.418,0.651,12.502,0.106,,,,,,,,,,,,,,,18.032,,,,,11.619,,,7.561,0.0,0.001,0.002,0.0,250.998,21.908
