country,year,population,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
High-income countries,1750,164555494.0,0.0,0.0,9.306,,,,,,,,,0.049,,,9.306,0.049,,,,0.0,9.306,,9.306,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1751,,0.0,,9.407,0.101,1.088,,,,,,,,,,9.407,,,,,0.0,18.713,,18.713,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1752,,0.0,,9.505,0.098,1.041,,,,,,,,,,9.505,,,,,0.0,28.218,,28.218,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1753,,0.0,,9.61,0.105,1.108,,,,,,,,,,9.61,,,,,0.0,37.829,,37.829,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1754,,0.0,,9.734,0.123,1.281,,,,,,,,,,9.734,,,,,0.0,47.562,,47.562,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1755,,0.0,,9.793,0.06,0.615,,,,,,,,,,9.793,,,,,0.0,57.356,,57.356,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1756,,0.0,,9.91,0.116,1.189,,,,,,,,,,9.91,,,,,0.0,67.266,,67.266,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1757,,0.0,,10.094,0.184,1.857,,,,,,,,,,10.094,,,,,0.0,77.36,,77.36,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1758,,0.0,,10.216,0.122,1.213,,,,,,,,,,10.216,,,,,0.0,87.576,,87.576,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1759,,0.0,,10.339,0.122,1.199,,,,,,,,,,10.339,,,,,0.0,97.915,,97.915,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1760,170242713.0,0.0,0.0,10.514,0.175,1.697,,,,,,,0.054,,,10.514,0.054,,,,0.0,108.429,,108.429,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1761,,0.0,,10.748,0.234,2.221,,,,,,,,,,10.748,,,,,0.0,119.177,,119.177,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1762,,0.0,,10.952,0.204,1.901,,,,,,,,,,10.952,,,,,0.0,130.129,,130.129,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1763,,0.0,,11.192,0.239,2.186,,,,,,,,,,11.192,,,,,0.0,141.321,,141.321,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1764,,0.0,,11.397,0.205,1.835,,,,,,,,,,11.397,,,,,0.0,152.718,,152.718,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1765,,0.0,,11.643,0.247,2.163,,,,,,,,,,11.643,,,,,0.0,164.361,,164.361,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1766,,0.0,,11.876,0.233,1.998,,,,,,,,,,11.876,,,,,0.0,176.237,,176.237,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1767,,0.0,,12.153,0.276,2.328,,,,,,,,,,12.153,,,,,0.0,188.39,,188.39,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1768,,0.0,,12.467,0.314,2.587,,,,,,,,,,12.467,,,,,0.0,200.857,,200.857,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1769,,0.0,,12.78,0.313,2.512,,,,,,,,,,12.78,,,,,0.0,213.637,,213.637,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1770,176049464.0,0.0,0.0,13.097,0.317,2.482,,,,,,,0.064,,,13.097,0.064,,,,0.0,226.734,,226.734,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1771,,0.0,,13.369,0.272,2.079,,,,,,,,,,13.369,,,,,0.0,240.104,,240.104,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1772,,0.0,,13.624,0.254,1.9,,,,,,,,,,13.624,,,,,0.0,253.727,,253.727,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1773,,0.0,,13.808,0.185,1.355,,,,,,,,,,13.808,,,,,0.0,267.535,,267.535,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1774,,0.0,,14.012,0.204,1.479,,,,,,,,,,14.012,,,,,0.0,281.548,,281.548,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1775,,0.0,,14.339,0.327,2.33,,,,,,,,,,14.339,,,,,0.0,295.887,,295.887,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1776,,0.0,,14.654,0.315,2.198,,,,,,,,,,14.654,,,,,0.0,310.541,,310.541,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1777,,0.0,,14.96,0.305,2.084,,,,,,,,,,14.96,,,,,0.0,325.5,,325.5,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
High-income countries,1778,,0.0,,15.243,0.284,1.898,,,,,,,,,,15.243,,,,,0.0,340.744,,340.744,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,100.0,,100.0,,100.0,,100.0,,,,,,,,,,,,,,,,,,,
